codigo_estacao,nome,endereco,latitude,longitude,linhas,linhas_futuras,futura,tipo,conexoes,link,NumeroZona,NomeZona,NumeroMunicipio,NomeMunicipio,NumDistrito_Municipio,NomeDistrito_Municipio,Area_ha_2,População,Empregos,Viagens,Matriculas,distancia_fronteira,distancia_centroide
1,Estação 14 Bis–Saracura,Rua Dr. Lourenço Granato 45,-23.55666667,-46.64916667,6,,TRUE,metrô,Corredor Santo Amaro-Nove de Julho-Centro,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_14_Bis%E2%80%93Saracura,25,Treze de Maio,36,São Paulo,7,Bela Vista,42.85,16746,10432.34188,18490,2126.709409,65.87011292,196.9696647
2,Estação AACD-Servidor,Rua Pedro de Toledo 1601,-23.59777778,-46.65194444,5,,FALSE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_AACD-Servidor,63,Jardim Luzitânia,36,São Paulo,53,Moema,103.07,2050,14897.29964,28505,419.1957994,111.2262422,450.5242724
3,Estação Adolfo Pinheiro,Av. Adolfo Pinheiro 301,-23.6500032,-46.7043554,5,,FALSE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Adolfo_Pinheiro,303,Santo Amaro,36,São Paulo,72,Santo Amaro,257.11,19007,27868.20952,71442,1940.801752,427.4967443,480.3987278
5,Estação Alto da Boa Vista,Av. Santo Amaro 6960,-23.64194444,-46.69972222,5,,FALSE,metrô,Corredor Santo Amaro,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Alto_da_Boa_Vista,301,Granja Julieta,36,São Paulo,72,Santo Amaro,616.88,41686,120727.7051,153239,8.702083152,35.42803546,1089.597068
6,Estação Alto do Ipiranga,Av. Dr Gentil de Moura 231,-23.60194444,-46.6125,2,,FALSE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Alto_do_Ipiranga,238,Alto do Ipiranga,36,São Paulo,33,Ipiranga,160.81,20023,12908.58318,26673,2397.91728,247.4134463,315.3176144
7,Estação Ana Rosa,Rua Vergueiro 505,-23.58138889,-46.63861111,1;2,,FALSE,metrô,Terminal de Ônibus Urbano e Estacionamento,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ana_Rosa,56,Rodrigues Alves,36,São Paulo,92,Vila Mariana,103.55,20419,21082.89512,40382,12281.71267,22.08842202,515.8983725
8,Estação Anália Franco,Avenida Vereador Abel Ferreira x Rua Engenheiro Cestari,-23.56386083,-46.56007778,2,,TRUE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_An%C3%A1lia_Franco,210,Jardim Anália Franco,36,São Paulo,87,Vila Formosa,334.04,34111,22276.14772,56995,11009.26768,58.73101968,654.4637647
9,Estação Anhangabaú,Rua Formosa s/nº,-23.54777778,-46.63916667,3,19,FALSE,metrô,Terminal Bandeira,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Anhangaba%C3%BA,5,República,36,São Paulo,67,República,74.95,15099,82670.40498,101015,4107.699002,35.15808076,541.0024301
10,Estação Aricanduva,Avenida Aricanduva x Rua Tenente-Coronel Soares Neiva,-23.54004,-46.54066,2,,TRUE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Aricanduva,214,Frei Mont'Alverne,36,São Paulo,93,Vila Matilde,225.2,26167,17441.65968,33830,6580.66562,48.03823127,718.4365939
11,Estação Armênia,Rua Pedro Vicente 47,-23.52527778,-46.62916667,1,,FALSE,metrô,Terminal Metropolitano Armênia Norte;Terminal Metropolitano Armênia Sul,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Arm%C3%AAnia,9,Ponte Pequena,36,São Paulo,9,Bom Retiro,129.78,7630,13429.14599,25528,7061.544301,383.543606,212.1223484
12,Estação Artur Alvim,Avenida Dr. Luis Aires 1800,-23.5406484,-46.4847098,3,,FALSE,metrô,Terminal de Ônibus Urbano,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Artur_Alvim,218,Artur Alvim,36,São Paulo,5,Artur Alvim,387.27,65910,15333.26546,64121,13882.06793,61.58621906,650.4564384
13,Estação Bela Vista,Rua Rui Barbosa 710,-23.56194444,-46.645,6,,TRUE,metrô,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Bela_Vista_(Metr%C3%B4_de_S%C3%A3o_Paulo),27,Bela Vista,36,São Paulo,7,Bela Vista,93.8,15414,48486.43483,80066,14723.29449,47.96688383,397.3631495
14,Estação Belém,Avenida Alcântara Machado s/nº,-23.54333333,-46.58972222,3,,FALSE,metrô,Terminal de Ônibus Urbano,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Bel%C3%A9m,40,Quarta Parada,36,São Paulo,8,Belém,127.4,8210,12144.09855,25112,4404.894361,78.2102866,583.7583957
15,Estação Boa Esperança,Avenida Ragueb Chohfi 3002,-23.5969674,-46.4563846,15,,TRUE,monotrilho,,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Boa_Esperan%C3%A7a,233,Sítio Carrãozinho,36,São Paulo,32,Iguatemi,323.28,57445,9383.78358,55515,13901.02838,203.5367217,1070.329569
16,Estação Borba Gato,Avenida Santo Amaro e Avenida Adolfo Pinheiro,-23.6420776,-46.6985934,5,,FALSE,metrô,Corredor Santo Amaro,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Borba_Gato,302,Chácara Flora,36,São Paulo,72,Santo Amaro,452.25,12550,25512.27143,45795,21856.81131,70.54431232,1266.59507
