Ordem_Adicao,Latitude,Longitude,Conectada_A,Zonas_Cobertas,Ganho_Demanda,Demanda_Total,Tempo_Busca_Segundos,Tempo_Acumulado_Segundos
1,-23.56861111,-46.66224337779608,Estação Brigadeiro,5,63072.209021205315,2100275.0602842206,86.61241102218628,86.61241102218628
2,-23.539065031737024,-46.680169756377175,Estação Clínicas,4,57524.35393184889,2157799.4142160695,74.35046815872192,160.9628791809082
3,-23.566565031737024,-46.629272728659515,Estação Ana Rosa,7,57632.48752675438,2215431.901742824,77.20602130889893,238.16890048980713
4,-23.589195546268805,-46.646537333360165,Estação AACD-Servidor,5,57278.06531595485,2272709.9670587787,78.24184489250183,316.41074538230896
5,-23.557055890090087,-46.686024,Estação Fradique Coutinho,5,55330.17963479459,2328040.1466935733,75.13947606086731,391.55022144317627
6,-23.542185844002912,-46.66346246707065,Estação Clínicas,9,52625.590159215964,2380665.7368527893,79.27143287658691,470.8216543197632
7,-23.58138889,-46.62779824739523,Estação Ana Rosa,6,52375.21135083493,2433040.948203624,78.40155696868896,549.2232112884521
8,-23.59829695400291,-46.67598512456238,Estação Eucaliptos,7,52419.57798671443,2485460.5261903387,76.79388332366943,626.0170946121216
9,-23.577193343731196,-46.65290590519189,Estação Brigadeiro,6,52861.78733818792,2538322.3135285266,78.12965202331543,704.146746635437
10,-23.60870119675676,-46.62527138314983,Estação Alto do Ipiranga,5,46616.06748980982,2584938.3810183364,77.91147375106812,782.0582203865051
11,-23.607687689909913,-46.65194444,Estação AACD-Servidor,4,45425.62222709507,2630364.0032454315,75.26258707046509,857.3208074569702
12,-23.581789658262974,-46.67668664436117,Estação Fradique Coutinho,5,45933.10772839142,2676297.110973823,75.3747980594635,932.6956055164337
13,-23.610306656268804,-46.687741307466794,Estação Campo Belo,3,44905.85923619894,2721202.970210022,75.4968900680542,1008.1924955844879
14,-23.589219221441443,-46.66812101136551,Estação AACD-Servidor,7,40546.795957240276,2761749.766167262,75.59008288383484,1083.7825784683228
15,-23.558362206268804,-46.69901694659603,Estação Faria Lima,6,40388.61560490541,2802138.3817721675,76.76326775550842,1160.5458462238312
16,-23.54768768990991,-46.56416667,Estação Carrão,4,40088.647558985744,2842227.0293311533,75.92577505111694,1236.4716212749481
17,-23.64918861,-46.74421616701332,Estação Campo Limpo,3,39205.21278194431,2881432.2421130976,74.7607569694519,1311.2323782444
18,-23.52527778,-46.647835461152155,Estação Armênia,6,38925.1069814628,2920357.3490945604,74.24291920661926,1385.4752974510193
19,-23.53755255144144,-46.62339242809534,Estação Bresser-Mooca,8,38611.508762459736,2958968.85785702,73.61383509635925,1459.0891325473785
20,-23.614954954954953,-46.65924485355629,Estação Eucaliptos,5,38616.2585841259,2997585.116441146,72.38304901123047,1531.472181558609
21,-23.585743243243243,-46.61778509643087,Estação Chácara Klabin,7,38788.88459991757,3036374.0010410636,72.34860014915466,1603.8207817077637
22,-23.590241394002913,-46.60512643850052,Estação Alto do Ipiranga,6,40338.10486742016,3076712.1059084837,72.02319598197937,1675.843977689743
23,-23.630045045045048,-46.63174306599499,Estação Conceição,4,38979.62549606012,3115691.731404544,73.18253684043884,1749.0265145301819
24,-23.649823858262977,-46.65045331107576,Estação Conceição,3,38972.40410654014,3154664.135511084,73.89428114891052,1822.9207956790924
25,-23.657770843731196,-46.75355938090488,Estação Campo Limpo,3,38065.18626019219,3192729.321771276,73.81343007087708,1896.7342257499695
26,-23.66916268990991,-46.76817778,Estação Capão Redondo,5,38440.45496266335,3231169.7767339395,72.21853804588318,1968.9527637958527
27,-23.639954954954955,-46.650479154005005,Estação Conceição,4,38065.26754895039,3269235.04428289,72.18501400947571,2041.1377778053284
28,-23.618455331441442,-46.67215314986361,Estação Brooklin,5,37707.788154418115,3306942.832437308,72.58170104026794,2113.7194788455963
29,-23.542732734954953,-46.55480556378523,Estação Carrão,3,36880.73687270982,3343823.569310018,72.04114484786987,2185.760623693466
30,-23.529195546268802,-46.55876203280699,Estação Carrão,5,37639.371140127536,3381462.9404501454,70.59393572807312,2256.3545594215393
31,-23.550090086756757,-46.576956535922626,Estação Belém,4,37114.658283561934,3418577.5987337073,70.0427029132843,2326.3972623348236
32,-23.529195546268802,-46.56957130719301,Estação Carrão,3,38098.52334185364,3456676.122075561,69.85883116722107,2396.2560935020447
33,-23.552601638262974,-46.55483138757571,Estação Carrão,3,39211.32494167425,3495887.447017235,67.83416390419006,2464.0902574062347
34,-23.560934968262973,-46.5978863460033,Estação Bresser-Mooca,4,37789.449137788266,3533676.8961550235,67.47469520568848,2531.564952611923
35,-23.551066064954952,-46.597860520576376,Estação Bresser-Mooca,5,37864.28980253637,3571541.18595756,66.8761830329895,2598.4411356449127
