Rank,Zone_ID,Zone_Name,Coverage_%,Uncovered_%,Current_Trips,Predicted_Trips,Uncovered_Demand
1,69,Vila Olímpia,2.4,97.6,16414.0,48411.0,47273.0
2,488,Tamboré,5.4,94.6,18393.0,40636.0,38450.0
3,68,Chácara Itaim,33.8,66.2,35214.0,55219.0,36561.0
4,404,Suzano,3.8,96.2,58002.0,37100.0,35709.0
5,444,Jardim Zaíra,0.3,99.7,34756.0,30441.0,30344.0
6,401,Bonsucesso,0.0,100.0,25543.0,30035.0,30035.0
7,525,Amador Bueno,9.5,90.5,42589.0,33068.0,29917.0
8,439,Carijós,0.0,100.0,8965.0,29749.0,29749.0
9,476,Itapecerica da Serra,0.0,100.0,32733.0,29459.0,29459.0
10,298,Parelheiros,0.8,99.2,29885.0,28260.0,28034.0
11,473,São Marcos,0.0,100.0,26101.0,27838.0,27838.0
12,340,Cidade Universitária,18.8,81.2,44034.0,33875.0,27493.0
13,116,Parada de Taipas,16.5,83.5,47837.0,32021.0,26744.0
14,295,Belmira Marin,0.0,100.0,30463.0,26418.0,26418.0
15,144,Mandaqui,0.0,100.0,24931.0,26329.0,26329.0
16,486,Barueri,27.9,72.1,47851.0,35962.0,25929.0
17,457,Montanhão,0.0,100.0,4221.0,25804.0,25804.0
18,463,Diadema,0.0,100.0,16860.0,25631.0,25631.0
19,278,Jardim Miriam,0.0,100.0,23684.0,25374.0,25374.0
20,403,Miguel Badra,6.1,93.8,25847.0,26996.0,25335.0
21,526,Santana de Parnaíba,0.0,100.0,7437.0,25294.0,25294.0
22,363,Guarulhos,0.0,100.0,7906.0,24611.0,24611.0
23,141,Cachoeirinha,0.0,100.0,11607.0,24219.0,24219.0
24,202,Jardim Robru,0.0,100.0,35066.0,24154.0,24154.0
25,500,Vila Yara,23.2,76.8,7312.0,31074.0,23849.0
26,438,Jardim do Estádio,0.0,100.0,14738.0,23810.0,23810.0
27,205,Fazenda Itaim,0.0,100.0,31162.0,23603.0,23603.0
28,316,Parque Fernanda,11.9,88.1,34506.0,25877.0,22792.0
29,204,Fábrica Bandeirantes,13.2,86.8,31613.0,26017.0,22572.0
30,398,Poá,27.8,72.2,42616.0,31125.0,22488.0
31,465,Piraporinha,0.0,100.0,4452.0,21918.0,21918.0
32,167,Tatuapé,55.2,44.8,62434.0,48767.0,21838.0
33,499,Osasco,40.8,59.2,31254.0,36867.0,21811.0
34,170,Penha,16.4,83.6,20101.0,25937.0,21691.0
35,518,Cotia,0.0,100.0,8222.0,21557.0,21557.0
36,462,Reservatório Billings,0.0,100.0,5545.0,21342.0,21342.0
37,378,Água Chata,0.9,99.1,9584.0,21374.0,21176.0
38,442,Capuava,0.0,100.0,9476.0,20962.0,20962.0
39,456,São Bernardo do Campo,0.0,100.0,10267.0,20603.0,20603.0
40,166,Gomes Cardim,43.3,56.7,37829.0,36308.0,20576.0
41,440,Parque do Pedroso,0.0,100.0,8340.0,20307.0,20307.0
42,306,Centro Empresarial,25.9,74.1,26099.0,27205.0,20148.0
43,308,Jardim Capela,0.0,100.0,9807.0,19918.0,19918.0
44,276,Jardim Bom Clima,2.3,97.7,32058.0,20325.0,19850.0
45,226,José Bonifácio,19.4,80.6,37367.0,24041.0,19384.0
46,294,Cocaia,0.0,100.0,20975.0,19372.0,19372.0
47,119,Perus,10.5,89.5,33395.0,21093.0,18870.0
48,169,Parque São Jorge,39.0,61.0,51432.0,30885.0,18852.0
49,399,Itaquaquecetuba,40.9,59.1,40211.0,31683.0,18725.0
50,516,Granja Viana,0.0,100.0,2073.0,18573.0,18573.0
51,400,Quinta da Boa Vista,16.6,83.4,19544.0,22235.0,18553.0
52,364,Macedo,0.0,100.0,6062.0,18506.0,18506.0
53,466,Vila Conceição,0.0,100.0,5112.0,18333.0,18333.0
54,452,Planalto,0.0,100.0,2180.0,18286.0,18286.0
55,325,Jardim Mitsutani,0.8,99.2,27690.0,18344.0,18206.0
56,247,Vila das Mercês,0.0,100.0,15531.0,18117.0,18117.0
57,453,Paulicéia,0.0,100.0,2096.0,18010.0,18010.0
58,207,Jardim das Oliveiras,26.6,73.4,31423.0,24323.0,17841.0
59,443,Mauá,42.8,57.2,31157.0,30892.0,17673.0
60,229,Cidade Tiradentes,29.6,70.4,46787.0,24963.0,17564.0
61,109,Vila Zatt,25.2,74.8,34875.0,23422.0,17526.0
62,394,Ferraz de Vasconcelos,27.4,72.6,52456.0,24109.0,17503.0
63,474,Embu das Artes,0.0,100.0,12153.0,17499.0,17499.0
64,402,Pinheirinho,0.0,100.0,16056.0,17395.0,17395.0
65,494,Cidade Ariston,22.6,77.4,18961.0,22474.0,17393.0
66,396,Santos Dumont,23.0,77.0,47013.0,22575.0,17376.0
67,509,Munhoz Junior,0.0,100.0,10073.0,17372.0,17372.0
68,199,Jardim Helena,24.6,75.4,41923.0,22669.0,17084.0
69,156,Jaçanã,0.0,100.0,10086.0,17023.0,17023.0
70,45,Parque da Mooca,46.6,53.4,42211.0,31734.0,16937.0
71,44,Alto da Mooca,0.5,99.5,15694.0,16882.0,16804.0
72,374,Taboão,18.7,81.3,4361.0,20630.0,16768.0
73,357,Francisco Morato,6.4,93.6,31693.0,17860.0,16723.0
74,243,Moinho Velho,11.4,88.6,15913.0,18750.0,16605.0
75,410,Brás Cubas,11.5,88.5,15583.0,18672.0,16524.0
76,454,Rudge Ramos,0.0,100.0,7122.0,16270.0,16270.0
77,458,Demarchi,0.0,100.0,2226.0,16267.0,16267.0
78,133,Alfredo Pujol,41.3,58.7,16834.0,27599.0,16206.0
79,168,Chácara do Piqueri,49.9,50.1,28665.0,31929.0,15997.0
80,198,Cidade Nitro-Operária,37.6,62.4,12653.0,25628.0,15987.0
81,505,Jardim Veloso,0.0,100.0,23027.0,15925.0,15925.0
82,151,Jardim Guapira,0.0,100.0,12405.0,15866.0,15866.0
83,447,Ribeirão Pires,4.6,95.4,25082.0,16355.0,15594.0
84,159,Jardim Brasil,0.0,100.0,7263.0,15533.0,15533.0
85,524,Itapevi,42.9,57.1,38673.0,27073.0,15456.0
86,408,Estudantes,24.5,75.5,19745.0,20276.0,15307.0
87,351,Baltazar Fidélis,9.3,90.7,16467.0,16837.0,15278.0
88,277,Cupecê,0.0,100.0,12537.0,15214.0,15214.0
89,154,Vila Gustavo,30.1,69.9,18501.0,21714.0,15178.0
90,470,Parque Pinheiros,0.0,100.0,14576.0,15113.0,15113.0
91,370,Vila Rosália,0.0,100.0,6387.0,15021.0,15021.0
92,70,Hélio Pelegrino,4.9,95.1,9132.0,15742.0,14973.0
93,227,Guaianases,25.7,74.3,30434.0,19955.0,14831.0
94,345,Caieiras,7.0,93.0,16455.0,15843.0,14742.0
95,407,Mogi das Cruzes,10.0,90.0,14304.0,16307.0,14678.0
96,496,Jardim Planalto,0.0,100.0,17276.0,14671.0,14671.0
97,221,Parque Savoy,0.0,100.0,7160.0,14498.0,14498.0
98,117,Parque Morro Doce,0.0,100.0,9307.0,14478.0,14478.0
99,367,Ponte Grande,0.0,100.0,1973.0,14394.0,14394.0
100,356,Afonso Moreno,17.0,83.0,21252.0,17293.0,14362.0
101,495,Carapicuíba,41.4,58.6,36039.0,24448.0,14334.0
102,445,Barão de Mauá,0.0,100.0,14453.0,14106.0,14106.0
103,504,Jardim Novo Osasco,0.0,100.0,9974.0,14048.0,14048.0
104,265,Cidade IV Centenário,0.0,100.0,10540.0,13974.0,13974.0
105,315,Adventista,27.8,72.2,18461.0,19218.0,13870.0
106,348,Cajamar,0.0,100.0,775.0,13827.0,13827.0
107,468,Taboão da Serra,42.1,57.9,26090.0,23810.0,13781.0
108,121,Jardim Damasceno,0.0,100.0,10157.0,13657.0,13657.0
109,312,Jardim Ângela,15.6,84.4,10676.0,16074.0,13559.0
110,201,Vila Curuçá,29.0,71.0,18764.0,19104.0,13558.0
111,487,Aphaville,0.0,100.0,14594.0,13499.0,13499.0
112,371,André Luiz,0.0,100.0,6681.0,13477.0,13477.0
113,501,Bussocaba City,0.0,100.0,4628.0,13457.0,13457.0
114,244,Vila Heliópolis,6.9,93.1,17106.0,14344.0,13360.0
115,424,Santa Paula,6.1,93.9,14809.0,14217.0,13350.0
116,327,Jardim Umarizal,0.0,100.0,15209.0,13335.0,13335.0
117,274,Jabaquara,67.1,32.9,46782.0,40469.0,13298.0
118,377,Baquirivu,0.0,100.0,2317.0,13291.0,13291.0
119,161,Parque Novo Mundo,0.0,100.0,12127.0,13237.0,13237.0
120,388,Arujá,0.0,100.0,3765.0,13122.0,13122.0
121,428,São Caetano do Sul,52.3,47.7,20006.0,27450.0,13105.0
